school_code,school_name,Year,Value
5748,Ajuga School,2022,74.8
4177,Albert Park Public School,2011,89.6
4177,Albert Park Public School,2012,88.6
4177,Albert Park Public School,2013,85.9
4177,Albert Park Public School,2014,88.3
4177,Albert Park Public School,2015,87.1
4177,Albert Park Public School,2016,87.9
4177,Albert Park Public School,2017,87
4177,Albert Park Public School,2018,90.5
4177,Albert Park Public School,2019,89.2
4177,Albert Park Public School,2021,86.9
4177,Albert Park Public School,2022,81
8586,Albion Park High School,2011,88.6
8586,Albion Park High School,2012,88.5
8586,Albion Park High School,2013,88.9
8586,Albion Park High School,2014,89.2
8586,Albion Park High School,2015,87.1
8586,Albion Park High School,2016,86.7
8586,Albion Park High School,2017,87.8
8586,Albion Park High School,2018,88.9
8586,Albion Park High School,2019,87.5
8586,Albion Park High School,2021,84.6
8586,Albion Park High School,2022,79.6
1015,Albion Park Public School,2011,93.6
1015,Albion Park Public School,2012,94.2
1015,Albion Park Public School,2013,94.7
1015,Albion Park Public School,2014,93.9
1015,Albion Park Public School,2015,93.6
1015,Albion Park Public School,2016,93.5
1015,Albion Park Public School,2017,93.1
1015,Albion Park Public School,2018,92.7
1015,Albion Park Public School,2019,91.8
1015,Albion Park Public School,2021,90.4
1015,Albion Park Public School,2022,86.5
4121,Albion Park Rail Public School,2011,92.5
4121,Albion Park Rail Public School,2012,92.7
4121,Albion Park Rail Public School,2013,92
4121,Albion Park Rail Public School,2014,93.7
4121,Albion Park Rail Public School,2015,92.2
4121,Albion Park Rail Public School,2016,93.9
4121,Albion Park Rail Public School,2017,91.2
4121,Albion Park Rail Public School,2018,90.4
4121,Albion Park Rail Public School,2019,89.8
4121,Albion Park Rail Public School,2021,87.5
4121,Albion Park Rail Public School,2022,82.2
8101,Albury High School,2011,88.4
8101,Albury High School,2012,89.9
8101,Albury High School,2013,89.6
8101,Albury High School,2014,89.5
8101,Albury High School,2015,89.5
8101,Albury High School,2016,90.4
8101,Albury High School,2017,89.2
8101,Albury High School,2018,87.8
8101,Albury High School,2019,88.3
8101,Albury High School,2021,85.7
8101,Albury High School,2022,79.2
3922,Albury North Public School,2011,92.6
3922,Albury North Public School,2012,91.8
3922,Albury North Public School,2013,93.6
3922,Albury North Public School,2014,93.4
3922,Albury North Public School,2015,93.2
3922,Albury North Public School,2016,91.9
3922,Albury North Public School,2017,92.7
3922,Albury North Public School,2018,89.5
3922,Albury North Public School,2019,90.6
3922,Albury North Public School,2021,87.5
3922,Albury North Public School,2022,83.9
1017,Albury Public School,2011,95
1017,Albury Public School,2012,95
1017,Albury Public School,2013,94.6
1017,Albury Public School,2014,94.8
1017,Albury Public School,2015,94.2
1017,Albury Public School,2016,93.8
1017,Albury Public School,2017,94.1
1017,Albury Public School,2018,93.6
1017,Albury Public School,2019,93.6
1017,Albury Public School,2021,93.3
1017,Albury Public School,2022,89.3
1019,Albury West Public School,2011,92
1019,Albury West Public School,2012,92.8
1019,Albury West Public School,2013,91.2
1019,Albury West Public School,2014,93.6
1019,Albury West Public School,2015,91.9
1019,Albury West Public School,2016,93.2
1019,Albury West Public School,2017,92.1
1019,Albury West Public School,2018,92.7
1019,Albury West Public School,2019,92.7
1019,Albury West Public School,2021,89.5
1019,Albury West Public School,2022,81.9
4601,Aldavilla Public School,2011,92.3
4601,Aldavilla Public School,2012,91.6
4601,Aldavilla Public School,2013,92
4601,Aldavilla Public School,2014,92.5
4601,Aldavilla Public School,2015,92.9
4601,Aldavilla Public School,2016,92.7
4601,Aldavilla Public School,2017,93.4
4601,Aldavilla Public School,2018,92.9
4601,Aldavilla Public School,2019,92.3
4601,Aldavilla Public School,2021,89.5
4601,Aldavilla Public School,2022,88.4
8556,Alexandria Park Community School,2011,91.9
8556,Alexandria Park Community School,2012,90.2
8556,Alexandria Park Community School,2013,93.1
8556,Alexandria Park Community School,2014,90.9
8556,Alexandria Park Community School,2015,91
8556,Alexandria Park Community School,2016,91.5
8556,Alexandria Park Community School,2017,91.4
8556,Alexandria Park Community School,2018,90.2
8556,Alexandria Park Community School,2019,89
8556,Alexandria Park Community School,2021,89.8
8556,Alexandria Park Community School,2022,84.8
4605,Alfords Point Public School,2011,94.9
4605,Alfords Point Public School,2012,95
4605,Alfords Point Public School,2013,94.6
4605,Alfords Point Public School,2014,95.7
4605,Alfords Point Public School,2015,96.1
4605,Alfords Point Public School,2016,94.3
4605,Alfords Point Public School,2017,94
4605,Alfords Point Public School,2018,94.1
4605,Alfords Point Public School,2019,93.8
4605,Alfords Point Public School,2021,93
4605,Alfords Point Public School,2022,89.4
4200,Allambie Heights Public School,2011,93.8
4200,Allambie Heights Public School,2012,96.2
4200,Allambie Heights Public School,2013,96.1
4200,Allambie Heights Public School,2014,96.5
4200,Allambie Heights Public School,2015,95.2
4200,Allambie Heights Public School,2016,95.6
4200,Allambie Heights Public School,2017,95.3
4200,Allambie Heights Public School,2018,94.8
4200,Allambie Heights Public School,2019,94.6
4200,Allambie Heights Public School,2021,94.5
4200,Allambie Heights Public School,2022,90.2
1028,Alma Public School,2011,89.4
1028,Alma Public School,2012,91.2
1028,Alma Public School,2013,92
1028,Alma Public School,2014,92
1028,Alma Public School,2015,90.8
1028,Alma Public School,2016,90.9
1028,Alma Public School,2017,91.7
1028,Alma Public School,2018,88.9
1028,Alma Public School,2019,88.5
1028,Alma Public School,2021,88.8
1028,Alma Public School,2022,85.9
8578,Alstonville High School,2011,90
8578,Alstonville High School,2012,89.3
8578,Alstonville High School,2013,90
8578,Alstonville High School,2014,89.6
8578,Alstonville High School,2015,89.3
8578,Alstonville High School,2016,90.6
8578,Alstonville High School,2017,91.2
8578,Alstonville High School,2018,90.3
8578,Alstonville High School,2019,91
8578,Alstonville High School,2021,84.6
8578,Alstonville High School,2022,80.7
1030,Alstonville Public School,2011,93.3
1030,Alstonville Public School,2012,93.4
1030,Alstonville Public School,2013,93.9
1030,Alstonville Public School,2014,94.3
1030,Alstonville Public School,2015,93.7
1030,Alstonville Public School,2016,93.6
1030,Alstonville Public School,2017,93
1030,Alstonville Public School,2018,92.9
1030,Alstonville Public School,2019,92.8
1030,Alstonville Public School,2021,90.2
1030,Alstonville Public School,2022,84
8570,Ambarvale High School,2011,86.9
8570,Ambarvale High School,2012,87.1
8570,Ambarvale High School,2013,86.3
8570,Ambarvale High School,2014,87.5
8570,Ambarvale High School,2015,86
8570,Ambarvale High School,2016,86.1
8570,Ambarvale High School,2017,88
8570,Ambarvale High School,2018,85.8
8570,Ambarvale High School,2019,85
8570,Ambarvale High School,2021,82.4
8570,Ambarvale High School,2022,76.5
4505,Ambarvale Public School,2011,92
4505,Ambarvale Public School,2012,92.4
4505,Ambarvale Public School,2013,92.8
4505,Ambarvale Public School,2014,94.9
4505,Ambarvale Public School,2015,92.9
4505,Ambarvale Public School,2016,93.5
4505,Ambarvale Public School,2017,92
4505,Ambarvale Public School,2018,91.2
4505,Ambarvale Public School,2019,90.5
4505,Ambarvale Public School,2021,87.8
4505,Ambarvale Public School,2022,82.6
1035,Ando Public School,2011,97.1
1040,Anna Bay Public School,2011,94.2
1040,Anna Bay Public School,2012,94
1040,Anna Bay Public School,2013,93.7
1040,Anna Bay Public School,2014,93.7
1040,Anna Bay Public School,2015,93.7
1040,Anna Bay Public School,2016,93.7
1040,Anna Bay Public School,2017,93.3
1040,Anna Bay Public School,2018,92
1040,Anna Bay Public School,2019,91.4
1040,Anna Bay Public School,2021,89.3
1040,Anna Bay Public School,2022,85.9
1042,Annandale North Public School,2011,95.5
1042,Annandale North Public School,2012,95.6
1042,Annandale North Public School,2013,95.8
1042,Annandale North Public School,2014,96.8
1042,Annandale North Public School,2015,96.4
1042,Annandale North Public School,2016,96.5
1042,Annandale North Public School,2017,97.4
1042,Annandale North Public School,2018,96.1
1042,Annandale North Public School,2019,95.1
1042,Annandale North Public School,2021,95
1042,Annandale North Public School,2022,91.2
1041,Annandale Public School,2011,95.6
1041,Annandale Public School,2012,94.1
1041,Annandale Public School,2013,94.9
1041,Annandale Public School,2014,93.9
1041,Annandale Public School,2015,93.5
1041,Annandale Public School,2016,94.6
1041,Annandale Public School,2017,95
1041,Annandale Public School,2018,94.9
1041,Annandale Public School,2019,94.8
1041,Annandale Public School,2021,94.9
1041,Annandale Public School,2022,91.1
3719,Annangrove Public School,2011,93.1
3719,Annangrove Public School,2012,93.6
3719,Annangrove Public School,2013,92.9
3719,Annangrove Public School,2014,93
3719,Annangrove Public School,2015,94
3719,Annangrove Public School,2016,93.4
3719,Annangrove Public School,2017,91.2
3719,Annangrove Public School,2018,92.8
3719,Annangrove Public School,2019,93.7
3719,Annangrove Public School,2021,94.1
3719,Annangrove Public School,2022,88.6
5625,Anson Street School,2021,82.9
5625,Anson Street School,2022,78.9
4656,Anzac Park Public School,2016,na
4656,Anzac Park Public School,2017,95.2
4656,Anzac Park Public School,2018,96.6
4656,Anzac Park Public School,2019,94.9
4656,Anzac Park Public School,2021,95.1
4656,Anzac Park Public School,2022,91.4
1045,Appin Public School,2011,94.5
1045,Appin Public School,2012,95.4
1045,Appin Public School,2013,95.2
1045,Appin Public School,2014,95.4
1045,Appin Public School,2015,94.7
1045,Appin Public School,2016,95
1045,Appin Public School,2017,94
1045,Appin Public School,2018,92.9
1045,Appin Public School,2019,93.9
1045,Appin Public School,2021,94.2
1045,Appin Public School,2022,87.2
1048,Arcadia Public School,2011,95.2
1048,Arcadia Public School,2012,95.3
1048,Arcadia Public School,2013,95.5
1048,Arcadia Public School,2014,95.7
1048,Arcadia Public School,2015,95.2
1048,Arcadia Public School,2016,95.4
1048,Arcadia Public School,2017,94.4
1048,Arcadia Public School,2018,94.3
1048,Arcadia Public School,2019,93.3
1048,Arcadia Public School,2021,93.1
1048,Arcadia Public School,2022,89.7
4132,Arcadia Vale Public School,2011,94.7
4132,Arcadia Vale Public School,2012,95.5
4132,Arcadia Vale Public School,2013,94.3
4132,Arcadia Vale Public School,2014,94.7
4132,Arcadia Vale Public School,2015,94.5
4132,Arcadia Vale Public School,2016,93.4
4132,Arcadia Vale Public School,2017,93.2
4132,Arcadia Vale Public School,2018,93.7
4132,Arcadia Vale Public School,2019,91.4
4132,Arcadia Vale Public School,2021,88.1
4132,Arcadia Vale Public School,2022,84
1051,Ardlethan Central School,2011,90.1
1051,Ardlethan Central School,2012,92.2
1051,Ardlethan Central School,2013,90.8
1051,Ardlethan Central School,2014,92.4
1051,Ardlethan Central School,2015,94
1051,Ardlethan Central School,2016,92.2
1051,Ardlethan Central School,2017,93.7
1051,Ardlethan Central School,2018,90.2
1051,Ardlethan Central School,2019,91
1051,Ardlethan Central School,2021,92.5
1051,Ardlethan Central School,2022,84.8
3904,Argenton Public School,2011,91
3904,Argenton Public School,2012,93.2
3904,Argenton Public School,2013,91.7
3904,Argenton Public School,2014,91.3
3904,Argenton Public School,2015,92.5
3904,Argenton Public School,2016,94.3
3904,Argenton Public School,2017,91.4
3904,Argenton Public School,2018,81.4
3904,Argenton Public School,2019,91.7
3904,Argenton Public School,2021,91.5
3904,Argenton Public School,2022,84.6
1055,Ariah Park Central School,2011,91.2
1055,Ariah Park Central School,2012,91.4
1055,Ariah Park Central School,2013,91.4
1055,Ariah Park Central School,2014,92.5
1055,Ariah Park Central School,2015,90.6
1055,Ariah Park Central School,2016,92.1
1055,Ariah Park Central School,2017,90
1055,Ariah Park Central School,2018,93.4
1055,Ariah Park Central School,2019,91.4
1055,Ariah Park Central School,2021,90.6
1055,Ariah Park Central School,2022,87.1
1057,Armidale City Public School,2011,94.3
1057,Armidale City Public School,2012,94.2
1057,Armidale City Public School,2013,94.1
1057,Armidale City Public School,2014,95.2
1057,Armidale City Public School,2015,94.3
1057,Armidale City Public School,2016,93.4
1057,Armidale City Public School,2017,92.9
1057,Armidale City Public School,2018,92.4
1057,Armidale City Public School,2019,93.6
1057,Armidale City Public School,2021,91.8
1057,Armidale City Public School,2022,88
8102,Armidale High School,2011,90.3
8102,Armidale High School,2012,86.3
8102,Armidale High School,2013,88.6
8102,Armidale High School,2014,87.2
8102,Armidale High School,2015,85.6
8102,Armidale High School,2016,85.3
8102,Armidale High School,2017,87.6
8102,Armidale High School,2018,85.1
8915,Armidale Secondary College,2019,86.3
8915,Armidale Secondary College,2021,84.1
8915,Armidale Secondary College,2022,80.8
7401,Arncliffe Public School,2011,96.1
7401,Arncliffe Public School,2012,95.5
7401,Arncliffe Public School,2013,95.6
7401,Arncliffe Public School,2014,95.9
7401,Arncliffe Public School,2015,94.5
7401,Arncliffe Public School,2016,94.2
7401,Arncliffe Public School,2017,94.3
7401,Arncliffe Public School,2018,94.4
7401,Arncliffe Public School,2019,93.2
7401,Arncliffe Public School,2021,93.6
7401,Arncliffe Public School,2022,87.2
5103,Arncliffe West Infants School,2011,97.1
5103,Arncliffe West Infants School,2012,96.3
5103,Arncliffe West Infants School,2013,95.3
5103,Arncliffe West Infants School,2014,94.7
5103,Arncliffe West Infants School,2015,94.3
5103,Arncliffe West Infants School,2016,93.4
5103,Arncliffe West Infants School,2017,96.4
5103,Arncliffe West Infants School,2018,95.5
5103,Arncliffe West Infants School,2019,92.1
5103,Arncliffe West Infants School,2021,95.4
5103,Arncliffe West Infants School,2022,91.1
5538,Arndell School,2021,93.6
5538,Arndell School,2022,88
5656,Arranounbai School,2021,84.5
5656,Arranounbai School,2022,84.6
1061,Artarmon Public School,2011,96.3
1061,Artarmon Public School,2012,96.6
1061,Artarmon Public School,2013,95.8
1061,Artarmon Public School,2014,97.3
1061,Artarmon Public School,2015,96.8
1061,Artarmon Public School,2016,96.8
1061,Artarmon Public School,2017,96.6
1061,Artarmon Public School,2018,96
1061,Artarmon Public School,2019,95.5
1061,Artarmon Public School,2021,96.2
1061,Artarmon Public School,2022,93.5
8892,Arthur Phillip High School,2011,88.7
8892,Arthur Phillip High School,2012,88.4
8892,Arthur Phillip High School,2013,91.7
8892,Arthur Phillip High School,2014,90.6
8892,Arthur Phillip High School,2015,90.3
8892,Arthur Phillip High School,2016,90.2
8892,Arthur Phillip High School,2017,89.2
8892,Arthur Phillip High School,2018,89.1
8892,Arthur Phillip High School,2019,89.4
8892,Arthur Phillip High School,2021,89.5
8892,Arthur Phillip High School,2022,85.4
1064,Ashbury Public School,2011,94.5
1064,Ashbury Public School,2012,94.8
1064,Ashbury Public School,2013,95.3
1064,Ashbury Public School,2014,94.6
1064,Ashbury Public School,2015,94.6
1064,Ashbury Public School,2016,95.3
1064,Ashbury Public School,2017,95.2
1064,Ashbury Public School,2018,94.6
1064,Ashbury Public School,2019,94.4
1064,Ashbury Public School,2021,94.6
1064,Ashbury Public School,2022,88.7
8397,Ashcroft High School,2011,86.5
8397,Ashcroft High School,2012,84.7
8397,Ashcroft High School,2013,85.4
8397,Ashcroft High School,2014,87.1
8397,Ashcroft High School,2015,85.1
8397,Ashcroft High School,2016,86.1
8397,Ashcroft High School,2017,83.9
8397,Ashcroft High School,2018,82.5
8397,Ashcroft High School,2019,81.4
8397,Ashcroft High School,2021,80.7
8397,Ashcroft High School,2022,74.3
4344,Ashcroft Public School,2011,91.4
4344,Ashcroft Public School,2012,92.7
4344,Ashcroft Public School,2013,93
4344,Ashcroft Public School,2014,94.1
4344,Ashcroft Public School,2015,91.9
4344,Ashcroft Public School,2016,92.6
4344,Ashcroft Public School,2017,88.9
4344,Ashcroft Public School,2018,89.6
4344,Ashcroft Public School,2019,88.5
4344,Ashcroft Public School,2021,89
4344,Ashcroft Public School,2022,82.4
8832,Ashfield Boys High School,2011,91.3
8832,Ashfield Boys High School,2012,91.8
8832,Ashfield Boys High School,2013,91.5
8832,Ashfield Boys High School,2014,90.8
8832,Ashfield Boys High School,2015,90.3
8832,Ashfield Boys High School,2016,90.7
8832,Ashfield Boys High School,2017,91.1
8832,Ashfield Boys High School,2018,92
8832,Ashfield Boys High School,2019,90.6
8832,Ashfield Boys High School,2021,89.8
8832,Ashfield Boys High School,2022,86.6
1065,Ashfield Public School,2011,95.1
1065,Ashfield Public School,2012,94.3
1065,Ashfield Public School,2013,94.2
1065,Ashfield Public School,2014,95.9
1065,Ashfield Public School,2015,95
1065,Ashfield Public School,2016,95
1065,Ashfield Public School,2017,94.1
1065,Ashfield Public School,2018,94.6
1065,Ashfield Public School,2019,94.1
1065,Ashfield Public School,2021,94.2
1065,Ashfield Public School,2022,89.2
1066,Ashford Central School,2011,91.9
1066,Ashford Central School,2012,92.6
1066,Ashford Central School,2013,90.5
1066,Ashford Central School,2014,91.7
1066,Ashford Central School,2015,90.7
1066,Ashford Central School,2016,89.8
1066,Ashford Central School,2017,89.8
1066,Ashford Central School,2018,87.7
1066,Ashford Central School,2019,87.1
1066,Ashford Central School,2021,85
1066,Ashford Central School,2022,78.5
4375,Ashmont Public School,2011,90.5
4375,Ashmont Public School,2012,90.8
4375,Ashmont Public School,2013,91.2
4375,Ashmont Public School,2014,88.8
4375,Ashmont Public School,2015,89.1
4375,Ashmont Public School,2016,88.4
4375,Ashmont Public School,2017,88.8
4375,Ashmont Public School,2018,88
4375,Ashmont Public School,2019,85.1
4375,Ashmont Public School,2021,86.3
4375,Ashmont Public School,2022,83.1
4642,Ashtonfield Public School,2011,94.8
4642,Ashtonfield Public School,2012,94.1
4642,Ashtonfield Public School,2013,94.3
4642,Ashtonfield Public School,2014,93.5
4642,Ashtonfield Public School,2015,93.7
4642,Ashtonfield Public School,2016,94.2
4642,Ashtonfield Public School,2017,93.7
4642,Ashtonfield Public School,2018,93.4
4642,Ashtonfield Public School,2019,93.2
4642,Ashtonfield Public School,2021,93.1
4642,Ashtonfield Public School,2022,88.9
8245,Asquith Boys High School,2011,91.2
8245,Asquith Boys High School,2012,93.2
8245,Asquith Boys High School,2013,93
8245,Asquith Boys High School,2014,94.2
8245,Asquith Boys High School,2015,92.8
8245,Asquith Boys High School,2016,93.2
8245,Asquith Boys High School,2017,93.3
8245,Asquith Boys High School,2018,91.2
8245,Asquith Boys High School,2019,91.5
8245,Asquith Boys High School,2021,91.5
8245,Asquith Boys High School,2022,84.1
8222,Asquith Girls High School,2011,94.1
8222,Asquith Girls High School,2012,93
8222,Asquith Girls High School,2013,92.9
8222,Asquith Girls High School,2014,94.4
8222,Asquith Girls High School,2015,92.7
8222,Asquith Girls High School,2016,92.7
8222,Asquith Girls High School,2017,93.6
8222,Asquith Girls High School,2018,93.9
8222,Asquith Girls High School,2019,93.7
8222,Asquith Girls High School,2021,90.8
8222,Asquith Girls High School,2022,86.2
1070,Asquith Public School,2011,95.2
1070,Asquith Public School,2012,94.8
1070,Asquith Public School,2013,94.8
1070,Asquith Public School,2014,96
1070,Asquith Public School,2015,95.2
1070,Asquith Public School,2016,94.6
1070,Asquith Public School,2017,95.2
1070,Asquith Public School,2018,94.5
1070,Asquith Public School,2019,94.9
1070,Asquith Public School,2021,94.4
1070,Asquith Public School,2022,89.4
3453,Athelstane Public School,2011,94.4
3453,Athelstane Public School,2012,94.3
3453,Athelstane Public School,2013,95
3453,Athelstane Public School,2014,95.4
3453,Athelstane Public School,2015,93
3453,Athelstane Public School,2016,93.6
3453,Athelstane Public School,2017,92.7
3453,Athelstane Public School,2018,93
3453,Athelstane Public School,2019,91.9
3453,Athelstane Public School,2021,92.6
3453,Athelstane Public School,2022,86.2
1071,Attunga Public School,2011,96.4
1071,Attunga Public School,2012,95.7
1071,Attunga Public School,2013,95.7
1071,Attunga Public School,2014,92.6
1071,Attunga Public School,2015,91.8
1071,Attunga Public School,2016,93
1071,Attunga Public School,2017,92.7
1071,Attunga Public School,2018,90
1071,Attunga Public School,2019,91.9
1071,Attunga Public School,2021,93.8
1071,Attunga Public School,2022,90.2
8253,Auburn Girls High School,2011,91.3
8253,Auburn Girls High School,2012,90.8
8253,Auburn Girls High School,2013,91.5
8253,Auburn Girls High School,2014,90.8
8253,Auburn Girls High School,2015,90.8
8253,Auburn Girls High School,2016,90.8
8253,Auburn Girls High School,2017,87.7
8253,Auburn Girls High School,2018,88.5
8253,Auburn Girls High School,2019,90.8
8253,Auburn Girls High School,2021,87.7
8253,Auburn Girls High School,2022,83.4
1073,Auburn North Public School,2011,94.9
1073,Auburn North Public School,2012,96
1073,Auburn North Public School,2013,95.5
1073,Auburn North Public School,2014,95.7
1073,Auburn North Public School,2015,95.4
1073,Auburn North Public School,2016,94.3
1073,Auburn North Public School,2017,92.9
1073,Auburn North Public School,2018,92.9
1073,Auburn North Public School,2019,90.4
1073,Auburn North Public School,2021,91.7
1073,Auburn North Public School,2022,85.1
7403,Auburn Public School,2011,95.7
7403,Auburn Public School,2012,95.2
7403,Auburn Public School,2013,95.9
7403,Auburn Public School,2014,96.1
7403,Auburn Public School,2015,93
7403,Auburn Public School,2016,93.8
7403,Auburn Public School,2017,92.4
7403,Auburn Public School,2018,89.2
7403,Auburn Public School,2019,86.7
7403,Auburn Public School,2021,87.9
7403,Auburn Public School,2022,84.1
1075,Auburn West Public School,2011,95.9
1075,Auburn West Public School,2012,95
1075,Auburn West Public School,2013,94.8
1075,Auburn West Public School,2014,95.7
1075,Auburn West Public School,2015,92.7
1075,Auburn West Public School,2016,93.1
1075,Auburn West Public School,2017,91
1075,Auburn West Public School,2018,91
1075,Auburn West Public School,2019,89.6
1075,Auburn West Public School,2021,89.9
1075,Auburn West Public School,2022,82.6
1076,Austinmer Public School,2011,95.4
1076,Austinmer Public School,2012,95.6
1076,Austinmer Public School,2013,94.7
1076,Austinmer Public School,2014,95
1076,Austinmer Public School,2015,95.3
1076,Austinmer Public School,2016,94.5
1076,Austinmer Public School,2017,95.4
1076,Austinmer Public School,2018,92.7
1076,Austinmer Public School,2019,92.7
1076,Austinmer Public School,2021,93
1076,Austinmer Public School,2022,89.1
1077,Austral Public School,2011,94.2
1077,Austral Public School,2012,94.2
1077,Austral Public School,2013,95.5
1077,Austral Public School,2014,94.3
1077,Austral Public School,2015,93.6
1077,Austral Public School,2016,93.6
1077,Austral Public School,2017,94.4
1077,Austral Public School,2018,92.1
1077,Austral Public School,2019,92.4
1077,Austral Public School,2021,89.5
1077,Austral Public School,2022,86.2
5104,Australia Street Infants School,2011,94.9
5104,Australia Street Infants School,2012,94.1
5104,Australia Street Infants School,2013,96.8
5104,Australia Street Infants School,2014,97.1
5104,Australia Street Infants School,2015,96.2
5104,Australia Street Infants School,2016,94.2
5104,Australia Street Infants School,2017,94.9
5104,Australia Street Infants School,2018,95
5104,Australia Street Infants School,2019,95.5
5104,Australia Street Infants School,2021,93.4
5104,Australia Street Infants School,2022,89.2
3792,Avalon Public School,2011,94.1
3792,Avalon Public School,2012,94.5
3792,Avalon Public School,2013,94.9
3792,Avalon Public School,2014,94.8
3792,Avalon Public School,2015,93.3
3792,Avalon Public School,2016,94.1
3792,Avalon Public School,2017,94.7
3792,Avalon Public School,2018,93.5
3792,Avalon Public School,2019,93.3
3792,Avalon Public School,2021,92.1
3792,Avalon Public School,2022,86.5
1082,Avoca Beach Public School,2011,95.4
1082,Avoca Beach Public School,2012,96
1082,Avoca Beach Public School,2013,96.1
1082,Avoca Beach Public School,2014,95.8
1082,Avoca Beach Public School,2015,94.6
1082,Avoca Beach Public School,2016,94.3
1082,Avoca Beach Public School,2017,93.5
1082,Avoca Beach Public School,2018,92.1
1082,Avoca Beach Public School,2019,91.9
1082,Avoca Beach Public School,2021,92.9
1082,Avoca Beach Public School,2022,86.8
1081,Avoca Public School,2011,90
1081,Avoca Public School,2012,91.5
1081,Avoca Public School,2013,92.3
1081,Avoca Public School,2014,93.3
1081,Avoca Public School,2015,94.3
1081,Avoca Public School,2016,94.2
1081,Avoca Public School,2017,91.3
1081,Avoca Public School,2018,92.9
1081,Avoca Public School,2019,92
1081,Avoca Public School,2021,87.1
1081,Avoca Public School,2022,78.5
1084,Awaba Public School,2011,91.7
1084,Awaba Public School,2012,96.2
1084,Awaba Public School,2013,93.8
1084,Awaba Public School,2014,95.4
1084,Awaba Public School,2015,96
1084,Awaba Public School,2016,94.6
1084,Awaba Public School,2017,95
1084,Awaba Public School,2018,95
1084,Awaba Public School,2019,91.3
1084,Awaba Public School,2021,92.9
1084,Awaba Public School,2022,82.5
1091,Badgerys Creek Public School,2011,91.1
1091,Badgerys Creek Public School,2012,93.8
1091,Badgerys Creek Public School,2013,93.9
1091,Badgerys Creek Public School,2014,93.7
4291,Balarang Public School,2011,94.3
4291,Balarang Public School,2012,93.7
4291,Balarang Public School,2013,95.1
4291,Balarang Public School,2014,95.5
4291,Balarang Public School,2015,94.8
4291,Balarang Public School,2016,94.6
4291,Balarang Public School,2017,95.8
4291,Balarang Public School,2018,94.6
